abandonar,'f. Ámbito más allá de la muerte'
catar,'tr. Encerrar introducir o incluir algo dentro de otra cosa o en alguna parte U. t. c. prnl.'
catéter,'f. Herraje de dos piezas con un eje común que sirve para unir dos superficies permitiendo el giro de ambas o de una sobre la otra'
celeste,'adj. Exento de tacha'
cenicero,'m. Producto soluble en agua resultado de la combinación de un álcali con los ácidos del aceite u otro cuerpo graso que se usa generalmente para lavar'
cereal,'tr. Ocupar por completo con algo un espacio vacío U. t. c. prnl.'
cerebro,'f. Juego de pelota entre cinco jugadores'
certeza,'m. Trozo o barra de metal en bruto y principalmente de hierro plata oro o platino'
cerveza,'m. y f. En la jerga de la droga adicto a la heroína'
cielo,'adj. Estable fuerte que no se mueve ni vacila'
cimarrón,'tr. Volver a tomar o adquirir lo que antes se tenía'
cinco,'adj. Que obedece'
cinismo,'tr. Introducir o clavar algo en otra cosa'
cinta,'adj. Muy abundante y copioso'
cinturón,'m. Sonido inarticulado por lo general desagradable'
circo,'tr. Hacer que un alimento crudo llegue a estar en disposición de poderse comer teniéndolo el tiempo necesario en aceite o grasa hirviendo U. t. c. intr. y c. prnl.'
circonio,'tr. Meter algo debajo del agua o de otro líquido U. t. c. prnl.'
circuito,'f. Sensatez para formar juicio y tacto para hablar u obrar'
cizaña,'f. Fís. Unidad de energía equivalente a calorías Símb.'
comida,'tr. Echar maldiciones contra alguien o algo'
constelación,'m. o f. Guerra islámica'
continente,'f. Hueso principal y anterior de la pierna que se articula con el fémur el peroné y el astrágalo'
corazón,'m. Enunciado o conjunto coherente de enunciados orales o escritos'
corcho,'f. Cuerpo encargado de velar por el mantenimiento del orden público y la seguridad de los ciudadanos a las órdenes de las autoridades políticas'
corolario,'tr. Der. Tener o gozar el usufructo de una cosa'
corona,'adj. Que sirve para la generación'
corromper,'adj. Que sonríe'
cortar,'adj. Perteneciente o relativo a la nariz'
cuello,'f. calabacera planta'
cuis,'adj. Dicho especialmente de la tierra Que produce mucho'
cumbia,'m. Elemento químico de núm. atóm. de color azul violeta y muy reactivo que se encuentra principalmente en el nitrato de en el agua del mar y concentrado en ciertas algas marinas forma parte de la estructura de las hormonas tiroideas y se usa como colorante como reactivo en química y fotografía y como desinfectante en medicina Símb.'
cumbre,'f. Estambre o pie después de urdido'
cura,'m. Dulce que se hace con yemas de huevo leche y azúcar y se cuaja en el baño de dentro de un molde generalmente bañado de azúcar tostada Suele llevar también harina y con frecuencia se le añade algún otro ingrediente como café naranja vainilla etc.'
curda,'m. Conjunto de disciplinas físico mentales originales de la destinadas a conseguir la perfección espiritual y la unión con lo absoluto'
curiosidad,'f. Magnitud medible en un espacio'
curso,'m. Nombre genérico de varias sustancias minerales suaves crasas al tacto que se usan generalmente para dibujar'
custodia,'tr. Mar. Desembarazar libertar quitar los estorbos de algo U. t. c. prnl.'
célebre,'m. Instrumento óptico que mediante un tubo con dos lentes situadas en sus extremos amplía las imágenes de los objetos lejanos'
césped,'adj. Embustero falso'
damasco,'f. Tira de tela u otro material de propiedades semejantes que sirve para atar ceñir o adornar'
danza,'m. comestible género de alimento'
deambular,'adj. Perteneciente o relativo a los trópicos'
debate,'intr. Secretar sudor U. t. c. tr.'
decente,'tr. Poner por escrito algo sucedido acordado o pensado con anterioridad'
decisión,'tr. Dejar de retener en la mente algo o a alguien   U. t. c. intr.'
declarar,'m. Viva alegría y especialmente la que se manifiesta con signos exteriores'
decretar,'m. Género de música derivado de ritmos y melodías afronorteamericanos'
dedicar,'intr. Respirar anhelosamente por efecto de algún trabajo o ejercicio impetuoso'
dedo,'tr. Examinar y censurar las cuentas con autoridad suficiente para'
degradar,'m. Ferrocarril establecido en una calle o camino carretero'
dejadez,'f. Conjunto de aletas que giran alrededor de un eje y empujan el fluido ambiente produciendo en él una fuerza de reacción que se utiliza principalmente para la propulsión de barcos y aeronaves'
delicia,'m. Acción y efecto de halagar'
delito,'m. Lugar en la costa o en las orillas de un río que por sus características naturales o artificiales sirve para que las embarcaciones realicen operaciones de carga y descarga embarque y desembarco etc.'
densidad,'f. Conformidad de algo con otra cosa en naturaleza forma calidad o cantidad'
desanimar,'f. Trayectoria curva que describe un cuerpo en su movimiento alrededor de un centro'
diabetes,'f. Totalidad integridad o cualidad de pleno'
dialecto,"'tr. Gastar o alisar un metal la madera etc., con la lima'"
diametral,'tr. Sacar o preservar a alguien de un trabajo mal o peligro U. t. c. prnl.'
dictaminar,'adj. Dicho de un ser vivo o de uno de sus órganos Capaz de experimentar sensaciones'
diez,'m. Acción y efecto de envasar'
diferenciar,'tr. Mar. Recoger arrancar y suspender el ancla que está fondeada'
difícil,'f. Hembra del caballo'
dignidad,'adj. Que está por grados o va de grado en grado'
dilema,'m. Poliamida sintética de la que se hacen filamentos elásticos y muy resistentes empleados en la fabricación de tejidos diversos'
dilucidar,'tr. En una promoción de ventas ofrecer durante tiempo limitado algún producto en condiciones ventajosas para el comprador'
dimensión,'intr. Prevenir anticiparse o salir al encuentro'
dinastía,'intr. Dicho de una cosa Llegar aproximadamente a su mitad'
dinero,'tr. Operar con las manos o con cualquier instrumento'
disciplina,'m. Prisma de hierro acerado de sección cuadrada a veces con punta en uno de los lados encajado en un tajo de madera fuerte y a propósito para trabajar en él a martillo los metales Era u. t. c. f.'
discreción,'m. Acción de obsequiar'
disentir,'f. Terreno extenso inculto y muy poblado de árboles'
disminuir,'tr. Apropiarse o destinar los caudales públicos a un uso ajeno a su función'
disparo,'tr. Grabar dibujos en la piel humana introduciendo materias colorantes bajo la epidermis por las punzadas o picaduras previamente dispuestas U. t. c. prnl.'
doble,'tr. Privar a alguien de las dignidades honores empleos y privilegios que tiene'
docilidad,'m. Aeronave que a diferencia del avión se sostiene merced a un rotor de eje oblicuo movido por un motor lo que le permite elevarse y descender verticalmente'
documento,'tr. Tener cuidado de algo o de alguien vigilarlo y defenderlo'
dogma,'tr. Cambiar sustituyéndolos por sus contrarios la posición el orden o el sentido de las cosas U. t. en sent. fig.'
dolor,'tr. Instruir doctrinar amaestrar con reglas o preceptos'
donde,'f. Cualidad de inmune'
dos,'intr. Dicho de un cuerpo Vacilar sobre las aguas por el movimiento agitado de ellas'
dualidad,'f. Gana insaciable de comer'
duda,'m. Árbol ornamental americano de la familia de las bignoniáceas de gran porte con follaje caedizo y flores tubulares de color azul violáceo'
duración,'f. Grado universitario inmediatamente inferior al doctorado'
durazno,'f. Acción y efecto de frustrar'
dureza,'m. Sensación molesta y aflictiva de una parte del cuerpo por causa interior o exterior'
dédalo,'f. Formación de una palabra por imitación del sonido de aquello que designa'
eclipse,'intr. Brillar resplandecer'
ecografía,'adj. Que se vuelve o se puede volver fácilmente'
ecología,'m. Piedra silícea de grano fino textura homogénea opaca y de colores variados'
ecosistema,'m. Acción y efecto de engañar'
educar,'f. Cualidad de digno'
eficaz,'m. Estación del año que astronómicamente comienza en el solsticio del mismo nombre y termina en el equinoccio de primavera'
egoísmo,'f. Fiesta popular al aire libre con bailes rifas concursos etc.'
ejecutar,'m. Fibra sintética de gran resistencia'
ejemplo,'f. Brote embrionario de los vegetales constituido por hojas o por esbozos foliares a modo de botón escamoso del que se desarrollarán ramas hojas y flores'
ejercicio,'m. Elemento químico metálico de núm. atóm. de color blanco brillante y blando abundante en la corteza terrestre en forma de sulfuro carbonato o silicato y usado en la fabricación de pilas eléctricas en la formación de aleaciones como el latón y en la galvanización del hierro y el acero Símb.'
ejército,'tr. Hacer mención de alguien o algo'
elegancia,'f. Conjunto de normas que regulan la escritura de una lengua'
elegir,'tr. Dividir algo en dos o más partes'
eliminar,'m. Elemento químico metálico de núm. atóm. de color amarillo brillante el más dúctil y maleable de los metales muy buen conductor del calor y la electricidad escaso en la corteza terrestre donde se encuentra nativo y muy disperso y que se usa en joyería en la fabricación de monedas y aleado con platino o paladio en odontología Símb.'
eludir,'adj. Perteneciente o relativo a la ornamentación o adorno'
embarazo,'m. Deporte que consiste en deslizarse por el agua sobre una tabla especial provista de una vela'
embestir,'m. Fil. En la filosofía china especialmente en el taoísmo fuerza activa o masculina que en síntesis con el yin constituye el principio del orden universal'
embudo,'m. Ser animado racional varón o mujer'
emitir,'f. Agregado visible de minúsculas gotitas de agua de cristales de hielo o de ambos suspendido en la atmósfera y producido por la condensación de vapor de agua'
empezar,'tr. Sacar el residuo de algo separando una parte del todo'
empleo,'f. Documento pontificio relativo a materia de fe o de interés general concesión de gracias o privilegios o asuntos judiciales o administrativos expedido por la Cancillería Apostólica y autorizado por el sello de su nombre u otro parecido estampado con tinta roja'
empobrecer,'f. Enfermedad metabólica caracterizada por eliminación excesiva de orina adelgazamiento sed intensa y otros trastornos generales'
emprender,'tr. Dar alimento a un ser vivo'
encender,'tr. Hacer que un fruto alcance el grado de desarrollo adecuado para ser consumido'
enchufe,'adj. coloq. ebrio embriagado por la bebida U. t. c. s.'
encoger,'m. Embarcación de gala o de recreo'
encuesta,'tr. Mostrar o hacer patente algo'
endurecer,'adj. Que irrita'
enfadar,'adj. Sutil delgado o menudo'
enfrentamiento,'f. Pelea en que dos personas se abrazan con el intento de derribar una a otra'
enfriar,'m. yuntero.'
enfurecer,'tr. Manejar algo y usarlo materialmente'
engaño,'m. Instrumento musical de viento compuesto de muchos tubos donde se produce el sonido unos fuelles que impulsan el aire y un teclado y varios registros ordenados para modificar el timbre de las voces'
enigma,'intr. impers. Caer gotas pequeñas de lluvia'
enjambre,'m. Aro pequeño'
enloquecer,'m. Cada una de las partes en que está naturalmente dividido el interior de algunos frutos como la naranja el limón la granada etc.'
enojo,'f. Ciencia que estudia los seres vivos como habitantes de un medio y las relaciones que mantienen entre sí y con el propio medio'
enorme,'f. Acción y efecto de custodiar'
enriquecer,'pron. person. 1.ª pers. m. y f. sing. Forma que en nominativo designa a la persona que habla o escribe'
ensayar,'m. Acción y efecto de trocar o trocarse'
enseñar,'tr. Am. Devolver o restituir algo a su poseedor'
entorpecer,'tr. Sustentar mantener firme algo U. t. c. prnl.'
entrar,'adj. Perteneciente o relativo a la vida del campo a sus labores y a sus habitantes'
entraña,'m. Hierba menuda y tupida que cubre el suelo'
entrevista,'m. Trozo pequeño de papel con timbre oficial de figuras o signos grabados que se pega a ciertos documentos para darles valor y eficacia'
entristecer,'tr. Restregar con fuerza una cosa con otra'
entrometer,'m. Reborde exterior carnoso y móvil de la boca de los mamíferos'
entusiasta,'adj. Perteneciente o relativo a las vísceras'
envase,'tr. Evitar un daño o peligro U. t. c. prnl.'
envejecer,'m. Acción y efecto de besar'
enviar,'tr. Enseñar doctrinar'
envidia,'adj. Acelerado ligero y pronto en el movimiento'
envolver,'adj. Situado a un lado de una cosa'
epidemia,'tr. Hacer fuerza o violencia física para conseguir algo que habitualmente no debe ser conseguido por la fuerza'
equivalente,'m. Vivienda de forma semiesférica construida con bloques de hielo en que durante el invierno habitan los esquimales y otros pueblos de análogas características'
error,'tr. Atravesar los hilos de la trama por entre los de la urdimbre para tejer alguna tela'
escabullir,'m. Bebida que se hace cociendo azúcar en agua hasta que se espesa añadiéndole zumos refrescantes o sustancias medicinales'
esclarecer,'m. Entidad local formada por los vecinos de un determinado territorio para gestionar autónomamente sus intereses comunes'
escoba,'f. ama mujer que amamanta a una criatura ajena'
escoger,'f. Utensilio o aparato que colgado o sostenido sobre un pie sirve de soporte a una o varias luces artificiales'
escopeta,'f. Procedimiento o técnica que permite obtener imágenes fijas de la realidad mediante la acción de la luz sobre una superficie sensible o sobre un sensor'
escribir,'m. Cola de mucho pelo'
escuchar,'tr. Poner una o varias cosas alrededor de otra U. t. c. prnl.'
escuela,'f. Ceremonial de los estilos usos y costumbres que se debe guardar en actos públicos solemnes'
escultura,"'m. Arg., Bol., Chile, Par.  mala hierba.'"
esfera,'f. Acción y efecto de unir o unirse'
esmeralda,'f. Cartílago que en el ser humano y en muchos animales forma la parte exterior del órgano del oído'
espacial,'m. Sulfato de calcio hidratado de color blanco usado en construcción y en escultura por su propiedad de endurecerse rápidamente al mezclarse con agua'
espejo,"'f. Pieza de metal o de otra materia generalmente con uno o varios clavos articulados en una varilla que la cierra por un lado los cuales sujetan la correa cinta etc., que pasa por dicha pieza'"
espinaca,'intr. Andar a gatas'
estable,'tr. arrojar. U. t. c. prnl.'
estaca,'tr. Recibir voluntariamente o sin oposición lo que se da ofrece o encarga'
estatal,'adj. Adecuado conforme a razón'
estima,'tr. Poner algo sobre otra cosa o en contacto de otra cosa'
estremecer,'tr. Someter un material usado a un proceso para que se pueda volver a utilizar'
estándar,"'tr. Gram. Convertir en nombre una palabra o un grupo de palabras p. ej.,  de  U. t. c. prnl.'"
etapa,'adj. Capaz de realizar con éxito una tarea manual'
etiqueta,'m. Gran elevación natural del terreno'
eucalipto,'m. Acción de hurtar'
evadir,'m. Local destinado a guardar automóviles'
evaluación,'m. Porción de espacio'
excluir,"'tr. Am. Mer., Méx.  Restaurar o reparar especialmente edificios'"
exhibir,'adj. Que habla U. t. c. s.'
exigir,'m. Méx. remolacha.'
existir,'m. Carta de la baraja'
explicación,'f. Gema transparente muy apreciada variedad del berilo teñida de verde por el óxido de cromo'
exprimir,'adj. fúnebre muy triste'
extender,'m. Ser que presenta anomalías o desviaciones notables respecto a su especie'
extinguir,'m. Emperador de y'
extrañar,'f. Tela resistente de tejido diagonal'
exuberante,'adj. inevitable.'
factible,'tr. Tomar satisfacción de un agravio o daño U. t. c. prnl.'
factura,'tr. Quitar de algo lo que le es extraño dejándolo en el ser y perfección que debe tener según su calidad U. t. c. prnl.'
falaz,'adj. Optativo no obligatorio'
fallecer,'f. Parte sólida de los árboles cubierta por la corteza'
falsificar,'m. algarroba planta U. m. en pl.'
familiar,'adj. Que refresca'
fanatizar,'f. Acción de federar o federarse'
fantasear,'f. Doctrina instrucción de una persona especialmente en lo moral'
fascinante,'tr. Llamar en solicitud de ayuda de manera formal o ritual'
fastidiar,'f. Antigua embarcación de vela de poco tonelaje y escaso calado con una sola cubierta y dos o tres palos'
fatal,'m. Sitio donde se halla naturalmente una roca un mineral o un fósil'
favorable,'m. Fís. Partícula sin carga eléctrica que forma parte del núcleo del átomo'
fealdad,'f. Intranquilidad producida por algo que molesta o que no acaba de llegar'
febril,'f. Conjunto de ideas fundamentales que caracteriza el pensamiento de una persona colectividad o época de un movimiento cultural religioso o político etc.'
federación,'adj. Que no puede creerse'
felicidad,'intr. Dicho de una persona Dar con los pies en un obstáculo al ir andando con lo que se puede caer'
felicitar,'intr. Hablar o leer con pronunciación entrecortada y repitiendo las sílabas'
feminista,'m. Serie ordenada de las letras de un idioma'
fenomenal,'m. Unidad de longitud equivalente a metros Símb.'
feroz,'tr. Observar algo o a alguien atenta y cuidadosamente U. t. c. intr.'
festejar,'adj. Diez más cinco U. t. c. pron. —¿'
fiar,'adj. Que contiene'
fibra,'m. En algunas religiones de la estado resultante de la liberación de los deseos de la consciencia individual y de la reencarnación que se alcanza mediante la meditación y la iluminación'
ficción,'tr. Solucionar un problema una duda una dificultad o algo que los entraña  U. t. c. prnl.'
fiebre,'adj. De escasa importancia o relevancia'
figura,'intr. Poner en movimiento un pedal y especialmente el de los velocípedos y bicicletas'
filmoteca,'m. Línea real o imaginaria que separa dos terrenos dos países dos territorios'
filtrar,'f. Serie de siete días naturales consecutivos del lunes al domingo'
final,'tr. Poner algo contra otra cosa para entorpecer o impedir su efecto  U. t. c. prnl.'
fingir,'tr. Inducir mover obligar a alguien con razones a creer o hacer algo U. t. c. prnl.'
finitud,'f. Insecto himenóptero de unos quince milímetros de largo de color pardo negruzco y vello rojizo que vive en colonias y produce cera y miel'
firmar,'f. Conocimiento o idea que se tiene de algo'
firme,'tr. Hacer a alguien o algo hábil apto o capaz para una cosa determinada'
fisurar,'tr. Conservar en crudo un alimento especialmente un pescado con adobo para que se ablande y adquiera la sazón y el aroma deseados'
flamear,'tr. Dar un movimiento trémulo a la espada o a otra cosa larga delgada y elástica'
flan,'intr. Dicho de un líquido Producir burbujas por la acción del calor'
flaquear,'adj. Dicho de una materia Capaz de reducirse a hilos y ser tejida U. t. c. s.'
flexionar,'f. Ling. Lengua griega común derivada del ático que fue de uso general en el mundo helénico tras las conquistas de'
florecer,'tr. Aclarar y explicar un asunto especialmente si es confuso o controvertido para su posible resolución'
flota,'f. Fruta de sartén muy extendida y delgada'
fluctuar,'m. Perforación que se hace en la tierra para buscar una vena de agua'
foca,'intr. Ir o moverse por el aire sosteniéndose con las alas'
folclore,'m. Pieza del disparador de un arma que se aprieta con el dedo para hacerlo funcionar'
formalizar,'f. Juicio o valoración que se forma una persona respecto de algo o de alguien'
formidable,'adj. Perteneciente o relativo a la juventud'
forrar,'f. Líquido de reacción alcalina algo viscoso segregado por glándulas cuyos conductos excretores se abren en la cavidad bucal de muchos animales y que sirve para reblandecer los alimentos facilitar su deglución e iniciar la digestión de algunos'
forzar,'f. Tablero horizontal descubierto y elevado sobre el suelo donde se colocan personas o cosas'
fosa,'f. Arácnido con tráqueas en forma de bolsas comunicantes con el exterior con cefalotórax cuatro pares de patas y en la boca un par de uñas venenosas y otro de apéndices o palpos que en los machos sirven para la cópula En el extremo del abdomen tiene el ano y las hileras u órganos productores de la seda con la que tapiza su vivienda caza sus presas y se traslada de un lugar a otro'
fotocopiar,'m. Caja o estuche con objetos de tocador costura etc.'
fotografía,'tr. Comparar una cantidad con su respectiva unidad con el fin de averiguar cuántas veces la segunda está contenida en la primera'
fracasar,'m. Diploma carta relación u otro escrito que ilustra acerca de algún hecho principalmente de los históricos'
fraccionar,'tr. Ejecutar a alguien con una descarga de fusilería'
fractura,'f. Mamífero carnívoro de cuerpo alargado patas cortas con los dedos de los pies unidos por una membrana de piel muy apreciada que vive a orillas de los ríos y arroyos y se alimenta de peces'
fragmentar,'tr. Dar vueltas a alguien o algo'
frambuesa,'tr. Realizar actos de sabotaje sobre algo'
frasco,'f. Práctica que consiste en administrar a alguien en dosis mínimas las mismas sustancias que en mayores cantidades producirían supuestamente en la persona sana síntomas iguales o parecidos a los que se trata de combatir'
frase,'f. Lugar donde se conservan los filmes para su estudio y exhibición'
frecuente,'f. Fruto del naranjo de forma globosa de seis a ocho centímetros de diámetro corteza rugosa de color entre rojo y amarillo como el de la pulpa que está dividida en gajos y es comestible jugosa y de sabor agridulce'
fregar,'m. Sustancia crasa y negra que el humo deposita en la superficie de los cuerpos'
frenar,'adj. Perteneciente o relativo a las naves y a la navegación'
freír,'adj. Que insiste'
frivolidad,'m. Masa de carne picada que ensartada en una varilla se asa haciéndose girar ante una fuente de calor'
frotar,'m. Palabra o frase con que se da a conocer el nombre o asunto de una obra o de cada una de las partes o divisiones de un escrito'
fruncir,'f. Persona del sexo femenino'
frustración,'f. Tecnología de los materiales y de las estructuras en la que el orden de magnitud se mide en nanómetros'
frágil,'m. Nombre genérico de varias especies botánicas de árboles americanos de madera muy dura'
fuente,'adj. Que sirve de fundamento o es lo principal en algo'
fuerte,'tr. Dar a entender algo que no es cierto U. t. c. prnl.'
función,'tr. Volver a establecer algo o ponerlo en el estado que antes tenía'
fundamental,'m. rastrillo instrumento para recoger hierba'
fundar,'m. Arbusto de la familia de las oleáceas con tallos verdes delgados flexibles algo trepadores y de cuatro a seis metros de longitud hojas alternas y compuestas de hojuelas estrechas en número impar duras enteras y lanceoladas flores en el extremo de los tallos pedunculadas blancas olorosas de cinco pétalos soldados por la parte inferior a manera de embudo y fruto en baya negra y esférica Es originario de y se cultiva en los jardines por el excelente olor de sus flores que utiliza la perfumería'
fundir,'tr. Elegir escoger por medio de una selección'
funeral,'tr. Echar zanjas o abrirlas para fabricar un edificio o para otro fin'
fusilar,'adj. Perteneciente o relativo a una institución o a instituciones políticas religiosas sociales etc.'
